date,close,change,volume,value,name
2019-07-29T00:00:00,10100.0,25.0,349500.0,3509330000.0,AALI
2019-07-30T00:00:00,10025.0,-75.0,370400.0,3720155000.0,AALI
2019-07-31T00:00:00,9975.0,-50.0,2524500.0,24959585000.0,AALI
2019-08-01T00:00:00,9975.0,0.0,542700.0,5418112500.0,AALI
2019-08-02T00:00:00,9800.0,-175.0,293800.0,2902410000.0,AALI
2019-08-05T00:00:00,9800.0,0.0,543600.0,5308775000.0,AALI
2019-08-06T00:00:00,9750.0,-50.0,311700.0,3011812500.0,AALI
2019-08-07T00:00:00,9800.0,50.0,164700.0,1614675000.0,AALI
2019-08-08T00:00:00,10250.0,450.0,2413500.0,24405142500.0,AALI
2019-08-09T00:00:00,10550.0,300.0,4684200.0,49261867500.0,AALI
2019-08-12T00:00:00,10625.0,75.0,1685100.0,17841422500.0,AALI
2019-08-13T00:00:00,11075.0,450.0,5485700.0,59916747500.0,AALI
2019-08-14T00:00:00,11175.0,100.0,2188800.0,24330895000.0,AALI
2019-08-15T00:00:00,11075.0,-100.0,2610500.0,28701890000.0,AALI
2019-08-16T00:00:00,10950.0,-125.0,2283900.0,24405885000.0,AALI
2019-08-19T00:00:00,10650.0,-300.0,446300.0,4795185000.0,AALI
2019-08-20T00:00:00,10400.0,-250.0,495500.0,5185945000.0,AALI
2019-08-21T00:00:00,10400.0,0.0,566700.0,5889805000.0,AALI
2019-08-22T00:00:00,10575.0,175.0,817600.0,8546597500.0,AALI
2019-08-23T00:00:00,10650.0,75.0,881200.0,9365407500.0,AALI
2019-08-26T00:00:00,10800.0,150.0,2109000.0,22729212500.0,AALI
2019-08-27T00:00:00,10500.0,-300.0,532700.0,5631110000.0,AALI
2019-08-28T00:00:00,10525.0,25.0,279100.0,2943737500.0,AALI
2019-08-29T00:00:00,10500.0,-25.0,835700.0,8777692500.0,AALI
2019-08-30T00:00:00,10500.0,0.0,339100.0,3565050000.0,AALI
2019-09-02T00:00:00,10500.0,0.0,598600.0,6298075000.0,AALI
2019-09-03T00:00:00,10525.0,25.0,793300.0,8386442500.0,AALI
2019-09-04T00:00:00,10450.0,-75.0,309500.0,3237552500.0,AALI
2019-09-05T00:00:00,10400.0,-50.0,553100.0,5781677500.0,AALI
2019-09-06T00:00:00,10400.0,0.0,280800.0,2919970000.0,AALI
2019-09-09T00:00:00,10350.0,-50.0,258500.0,2682760000.0,AALI
2019-09-10T00:00:00,10500.0,150.0,451800.0,4737477500.0,AALI
2019-09-11T00:00:00,10500.0,0.0,229600.0,2413292500.0,AALI
2019-09-12T00:00:00,10325.0,-175.0,336500.0,3519820000.0,AALI
2019-09-13T00:00:00,10475.0,150.0,465800.0,4894857500.0,AALI
2019-09-16T00:00:00,10700.0,225.0,902500.0,9606430000.0,AALI
